Date,Price,Open,High,Low,Vol.,Change %
1-Mar,4.278,4.485,4.52,4.27,3.48K,-4.34%
1-Apr,4.32,4.38,4.41,4.31,12.30K,0.98%
1-May,4.396,4.31,4.635,4.305,0.97K,1.76%
1-Jun,4.292,4.32,4.4,4.28,21.68K,-2.37%
1-Jul,4.21,4.26,4.28,4.18,1.39K,-1.91%
1-Aug,4.162,4.21,4.21,4.14,13.19K,-1.14%
1-Sep,4.647,4.155,4.66,4.135,1.18K,11.65%
1-Oct,4.214,4.67,4.67,4.15,0.11K,-9.32%
1-Nov,4.128,4.14,4.16,4.05,10.58K,-2.04%
1-Dec,4.579,4.135,4.56,4.08,1.29K,10.93%
2-Jan,4.216,4.58,4.72,4.575,0.23K,-7.93%
2-Feb,4.497,4.28,4.51,4.28,10.58K,6.67%
2-Mar,4.641,4.485,4.63,4.455,1.20K,3.20%
2-Apr,4.532,4.7,4.7,4.505,9.64K,-2.35%
2-May,5.026,4.52,4.98,4.51,2.12K,10.90%
2-Jun,4.833,5.15,5.15,4.8,14.47K,-3.84%
2-Jul,4.595,4.845,5.14,4.61,3.22K,-4.92%
2-Aug,4.437,4.5,4.56,4.42,5.99K,-3.44%
2-Sep,4.53,4.461,4.67,4.43,1.64K,2.10%
2-Oct,4.499,4.315,4.35,4.3,0.42K,-0.68%
2-Nov,4.414,4.56,4.56,4.405,3.51K,-1.89%
2-Dec,4.801,4.425,4.78,4.4,3.17K,8.77%
3-Jan,4.853,4.88,4.885,4.76,0.67K,1.08%
3-Feb,4.655,4.55,4.55,4.54,0.04K,-4.08%
3-Mar,4.461,4.58,4.69,4.35,1.42K,-4.17%
3-Apr,4.638,4.45,4.66,4.45,11.86K,3.97%
3-May,4.526,4.655,4.88,4.58,1.82K,-2.41%
3-Jun,4.52,4.5,4.65,4.49,9.79K,-0.13%
3-Jul,5.116,4.68,5.175,4.64,1.96K,13.19%
3-Aug,5.109,4.82,5.18,4.82,9.10K,-0.14%
3-Sep,5.137,5.135,5.365,4.97,3.45K,0.55%
3-Oct,5.059,4.87,5.17,4.805,0.14K,-1.52%
3-Nov,5.355,5.055,5.39,5.055,3.93K,5.85%
3-Dec,5.953,5.36,5.96,5.355,3.58K,11.17%
4-Jan,6.246,6.2,6.67,6.15,0.43K,4.92%
4-Feb,6.696,6.115,6.78,6.115,19.23K,7.20%
4-Mar,7.936,6.7,7.75,6.57,4.95K,18.52%
4-Apr,5.867,8.075,8.105,5.9,0.34K,-26.07%
4-May,6.105,6.07,6.16,5.495,2.00K,4.06%
4-Jun,5.776,5.908,5.99,5.73,18.58K,-5.39%
4-Jul,6.55,5.835,6.75,5.83,2.28K,13.40%
4-Aug,6.771,6.9,6.9,6.59,14.64K,3.37%
4-Sep,6.916,6.735,6.82,6.065,2.80K,2.14%
4-Oct,7.292,7.26,7.34,7.26,0.35K,5.44%
4-Nov,7.723,7.47,7.82,7.47,28.35K,5.91%
4-Dec,6.807,7.715,8.19,6.6,3.98K,-11.86%
5-Jan,6.737,6.74,6.89,6.415,0.39K,-1.03%
5-Feb,7.359,6.52,7.42,6.52,24.04K,9.23%
5-Mar,7.17,7.345,7.64,6.86,4.37K,-2.57%
5-Apr,6.903,7.1,7.15,6.85,18.59K,-3.72%
5-May,7.444,6.925,7.18,6.77,4.56K,7.84%
5-Jun,7.028,7.58,7.58,6.99,15.21K,-5.59%
5-Jul,7.238,6.87,7.15,6.81,2.08K,2.99%
5-Aug,6.781,6.92,6.95,6.63,19.52K,-6.31%
5-Sep,7.458,6.825,7.39,6.81,2.47K,9.98%
5-Oct,7.55,7.67,7.74,7.62,0.59K,1.23%
5-Nov,8.28,7.4,8.365,7.4,36.98K,9.67%
5-Dec,8.82,8.275,9.17,8.19,4.81K,6.52%
6-Jan,9.85,9.03,9.87,8.805,0.98K,11.68%
6-Feb,9.72,9.82,9.82,9.25,20.29K,-1.32%
6-Mar,11.48,9.735,11.62,9.64,6.02K,18.11%
6-Apr,13.51,11.63,13.76,11.63,24.08K,17.68%
6-May,12.398,13.58,14.97,12,6.72K,-8.23%
6-Jun,10.833,12.1,12.14,9.75,14.63K,-12.62%
6-Jul,11.325,10.86,11.78,10.65,3.30K,4.54%
6-Aug,12.9,12.2,12.93,12.15,15.09K,13.91%
6-Sep,11.45,12.87,13.26,10.45,3.06K,-11.24%
6-Oct,12.212,11.03,11.28,11.03,0.19K,6.66%
6-Nov,13.925,13.62,14,13.54,18.47K,14.03%
6-Dec,12.818,13.9,14.185,12.23,2.80K,-7.95%
7-Jan,13.514,12.72,13.55,12.2,0.99K,5.43%
7-Feb,14.1,13.62,14.72,13.3,23.99K,4.34%
7-Mar,13.39,14.23,14.305,12.47,3.61K,-5.04%
7-Apr,13.445,13.1,14.1,13.02,18.83K,0.41%
7-May,13.409,13.42,13.585,12.785,2.39K,-0.27%
7-Jun,12.353,13.765,13.765,12.265,19.50K,-7.88%
7-Jul,12.95,12.405,13.42,12.405,3.34K,4.83%
7-Aug,12.063,12.955,12.955,11.725,13.45K,-6.85%
7-Sep,13.794,12.095,13.815,12,2.73K,14.35%
7-Oct,14.377,13.71,14.45,13.205,0.12K,4.23%
7-Nov,13.963,14.74,15.485,13.76,21.67K,-2.88%
7-Dec,14.797,13.96,14.825,13.6,3.26K,5.97%
8-Jan,16.948,15.34,16.875,15.085,2.13K,14.54%
8-Feb,19.808,16.89,19.925,16.445,22.95K,16.88%
8-Mar,17.275,19.78,21.185,16.77,5.19K,-12.79%
8-Apr,16.502,16.885,17.86,16.365,20.85K,-4.47%
8-May,16.827,16.97,18.29,15.995,3.65K,1.97%
8-Jun,17.42,16.85,17.88,16.465,27.32K,3.52%
8-Jul,17.75,17.44,19.375,16.83,3.19K,1.89%
8-Aug,13.607,17.65,17.65,12.8,27.63K,-23.34%
8-Sep,12.231,13.77,13.77,10.28,5.94K,-10.11%
8-Oct,9.73,12.57,12.57,8.78,1.56K,-20.45%
8-Nov,10.185,10.295,10.455,8.83,17.60K,4.68%
8-Dec,11.27,10.24,11.41,9.135,3.18K,10.65%
9-Jan,12.56,11.195,12.59,10.37,1.84K,11.45%
9-Feb,13.085,12.5,14.365,12.27,27.70K,4.18%
9-Mar,12.975,13.09,13.85,11.94,5.96K,-0.84%
9-Apr,12.305,12.83,13.105,12.035,21.78K,-5.16%
9-May,15.6,12.335,15.75,12.04,3.11K,26.78%
9-Jun,13.574,15.85,15.885,13.435,14.06K,-12.99%
9-Jul,13.933,13.6,14.05,12.48,3.82K,2.64%
9-Aug,14.898,14.02,15.1,13.61,19.72K,6.93%
9-Sep,16.636,14.885,17.555,14.65,4.36K,11.67%
9-Oct,16.246,16.59,17.845,16.035,0.32K,-2.34%
9-Nov,18.495,16.93,18.9,16.885,33.61K,13.84%
9-Dec,16.822,18.47,19.42,16.76,7.17K,-9.05%
10-Jan,16.183,16.885,18.795,16.1,0.56K,-3.80%
10-Feb,16.5,16.19,16.72,15,41.32K,1.96%
10-Mar,17.512,16.5,17.565,16.32,6.58K,6.13%
10-Apr,18.611,17.56,18.765,17.56,24.65K,6.28%
10-May,18.411,18.625,19.8,17.09,6.20K,-1.07%
10-Jun,18.671,18.505,19.18,17.31,15.69K,1.41%
10-Jul,17.987,18.585,18.66,17.43,4.30K,-3.66%
10-Aug,19.398,18.435,19.4,17.925,8.66K,7.84%
10-Sep,21.798,19.385,21.88,19.3,4.42K,12.37%
10-Oct,24.56,21.96,24.7,21.96,0.39K,12.67%
10-Nov,28.185,24.865,28.915,24.115,57.97K,14.76%
10-Dec,30.91,28.095,30.9,28.01,6.27K,9.67%
11-Jan,28.174,30.45,31.195,26.505,1.31K,-8.85%
11-Feb,33.804,27.995,34.01,27.995,42.89K,19.98%
11-Mar,37.872,33.885,38.13,33.6,9.94K,12.03%
11-Apr,48.584,37.5,49.52,37.18,45.20K,28.28%
11-May,38.303,47.97,48.085,32.595,10.43K,-21.16%
11-Jun,34.812,38.225,38.335,33.58,38.18K,-9.11%
11-Jul,40.092,34.68,41.42,33.465,8.61K,15.17%
11-Aug,41.699,39.625,44.15,37.215,22.45K,4.01%
11-Sep,30.041,41.585,43.395,26.585,5.33K,-27.96%
11-Oct,34.337,29.965,35.455,28.41,0.69K,14.30%
11-Nov,32.731,32.87,35.04,31.02,19.32K,-4.68%
11-Dec,27.875,32.715,33.555,26.385,3.14K,-14.84%
12-Jan,33.233,28.165,33.8,28.11,1.57K,19.22%
12-Feb,34.583,33.17,37.48,32.7,31.68K,4.06%
12-Mar,32.469,34.62,35.615,31.19,4.24K,-6.11%
12-Apr,30.959,33.105,33.105,30.55,24.81K,-4.65%
12-May,27.741,31.045,31.28,26.895,2.27K,-10.39%
12-Jun,27.58,27.72,29.245,26.07,26.32K,-0.58%
12-Jul,27.895,27.44,28.37,26.445,4.08K,1.14%
12-Aug,31.37,27.05,31.7,26.965,15.75K,12.46%
12-Sep,34.517,31.66,35.09,31.52,3.72K,10.03%
12-Oct,32.288,34.375,34.98,31.65,0.65K,-6.46%
12-Nov,33.204,32.47,34.395,30.785,17.79K,2.84%
12-Dec,30.173,33.5,33.85,29.62,5.82K,-9.13%
13-Jan,31.335,30.63,32.315,29.21,0.72K,3.85%
13-Feb,28.395,31.6,32.02,28.315,27.13K,-9.38%
13-Mar,28.292,28.485,29.29,27.955,3.22K,-0.36%
13-Apr,24.144,27.96,27.975,22.6,22.60K,-14.66%
13-May,22.228,24.25,24.375,21.01,6.15K,-7.94%
13-Jun,19.451,22.335,22.87,18.185,23.82K,-12.49%
13-Jul,19.617,19.485,20.52,18.685,3.99K,0.85%
13-Aug,23.463,19.61,24.985,19.46,22.46K,19.61%
13-Sep,21.656,23.2,24.46,21.21,4.95K,-7.70%
13-Oct,21.832,21.665,23,20.675,0.49K,0.81%
13-Nov,19.981,21.87,21.88,19.585,28.84K,-8.48%
13-Dec,19.339,19.91,20.4,18.845,4.94K,-3.21%
14-Jan,19.105,20.31,20.53,19.06,1.24K,-1.21%
14-Feb,21.204,19.13,21.895,19.09,18.04K,10.99%
14-Mar,19.734,21.35,21.71,19.63,3.11K,-6.93%
14-Apr,19.119,19.94,20.215,19.025,20.60K,-3.12%
14-May,18.653,19.17,19.915,18.605,3.51K,-2.44%
14-Jun,21.007,18.75,21.205,18.675,20.06K,12.62%
14-Jul,20.373,21.01,21.525,20.435,2.35K,-3.02%
14-Aug,19.398,20.295,20.36,19.285,22.42K,-4.79%
14-Sep,17.006,19.405,19.47,16.87,2.61K,-12.33%
14-Oct,16.077,16.95,17.7,15.86,1.10K,-5.46%
14-Nov,15.489,16.035,16.65,15.045,28.92K,-3.66%
14-Dec,15.565,15.39,17.18,14.1,4.25K,0.49%
15-Jan,17.192,15.79,18.355,15.535,0.84K,10.45%
15-Feb,16.513,17.32,17.6,16.295,19.48K,-3.95%
15-Mar,16.581,16.585,17.325,15.27,2.41K,0.41%
15-Apr,16.124,16.62,17.08,15.815,19.44K,-2.76%
15-May,16.684,16.09,17.71,15.905,2.23K,3.47%
15-Jun,15.551,16.635,17.1,15.415,21.65K,-6.79%
15-Jul,14.746,15.635,15.695,14.33,3.17K,-5.18%
15-Aug,14.577,14.73,15.51,14.045,15.26K,-1.15%
15-Sep,14.513,14.62,15.265,14.265,2.44K,-0.44%
15-Oct,15.566,14.515,16.25,14.41,0.24K,7.26%
15-Nov,14.05,15.385,15.385,13.905,18.97K,-9.74%
15-Dec,13.775,14.04,14.605,13.635,1.83K,-1.96%
16-Jan,14.229,14.1,14.385,13.71,0.55K,3.30%
16-Feb,14.896,14.245,15.785,14.235,25.17K,4.69%
16-Mar,15.46,14.925,16.15,14.725,8.00K,3.79%
16-Apr,17.789,15.02,17.99,15.015,29.27K,15.06%
16-May,15.972,17.85,18.03,15.96,4.05K,-10.21%
16-Jun,18.582,16,18.855,15.92,27.73K,16.34%
16-Jul,20.312,18.79,21.095,18.775,4.92K,9.31%
16-Aug,18.622,20.51,20.75,18.505,16.16K,-8.32%
16-Sep,19.139,18.7,20.1,18.585,3.41K,2.78%
16-Oct,17.762,18.87,18.87,17.195,0.47K,-7.19%
16-Nov,16.406,18,18.8,16.255,19.28K,-7.63%
16-Dec,15.936,16.495,17.19,15.7,3.48K,-2.86%
17-Jan,17.512,16.04,17.56,16.03,0.53K,9.89%
17-Feb,18.42,17.45,18.475,17.405,29.64K,5.19%
17-Mar,18.235,18.295,18.455,16.82,5.42K,-1.00%
17-Apr,17.191,18.22,18.5,17.13,37.85K,-5.73%
17-May,17.368,17.185,17.4,16.03,6.07K,1.03%
17-Jun,16.568,17.3,17.695,16.33,19.66K,-4.61%
17-Jul,16.75,16.58,16.825,15.15,3.07K,1.10%
17-Aug,17.48,16.635,17.6,16.09,23.43K,4.36%
17-Sep,16.607,17.565,18.16,16.655,5.95K,-4.99%
17-Oct,16.645,16.595,17.43,16.43,1.05K,0.23%
17-Nov,16.382,16.99,17.305,16.285,24.25K,-1.58%
17-Dec,17.06,16.385,17.045,15.555,3.51K,4.14%
18-Jan,17.204,17.155,17.525,16.905,0.54K,0.84%
18-Feb,16.324,16.705,16.705,16.26,25.43K,-5.12%
18-Mar,16.223,16.35,16.81,16.05,2.28K,-0.62%
18-Apr,16.312,16.47,17.2,16.14,22.11K,0.55%
18-May,16.402,16.28,16.725,16,6.03K,0.55%
18-Jun,16.104,16.355,17.285,15.88,32.06K,-1.82%
18-Jul,15.5,16.055,16.17,15.135,3.69K,-3.75%
18-Aug,14.438,15.42,15.455,14.395,17.36K,-6.85%
18-Sep,14.623,14.45,14.555,13.91,3.86K,1.28%
18-Oct,14.229,14.35,14.74,14.215,0.88K,-2.69%
18-Nov,14.094,14.58,14.645,13.945,24.66K,-0.95%
18-Dec,15.433,14.21,15.445,14.185,1.75K,9.50%
19-Jan,16.022,15.52,16.14,15.14,0.58K,3.82%
19-Feb,15.538,16.01,16.07,15.52,18.49K,-3.02%
19-Mar,15.295,15.75,15.835,15.135,13.46K,-1.56%
19-Apr,15.756,15.295,15.485,14.88,31.72K,3.01%
19-May,15.259,15.185,15.2,14.47,38.34K,-3.15%
19-Jun,15.942,15.942,15.942,15.942,0.00K,4.48%
19-Jul,17.053,17.053,17.053,17.053,88.92K,6.97%
19-Aug,18.877,16.89,16.91,16.89,0.00K,10.70%
19-Sep,17.583,18.13,18.13,17.6,0.03K,-6.85%
19-Oct,18.699,18.699,18.699,18.699,41.47K,6.35%
19-Nov,17.626,17.626,17.626,17.626,0.00K,-5.74%
19-Dec,18.404,18.404,18.404,18.404,0.02K,4.41%
20-Jan,18.472,18.472,18.472,18.472,0.02K,0.37%
20-Feb,16.811,18.725,18.865,16.9,0.06K,-8.99%
20-Mar,14.331,17.415,17.415,12.085,0.10K,-14.75%
20-Apr,15.268,15.8,16.47,15.025,1.48K,6.54%
20-May,18.785,15.245,18.16,15.035,0.26K,23.04%
20-Jun,19.038,19.155,19.155,18.03,2.26K,1.35%
20-Jul,24.899,18.975,26.745,18.525,2.89K,30.79%
20-Aug,28.859,25.575,30.595,24.25,7.23K,15.90%
20-Sep,23.724,29.08,29.315,22.125,5.87K,-17.79%
20-Oct,23.9,23.85,25.885,22.875,15.66K,0.74%
20-Nov,22.661,23.72,26.275,22.065,25.20K,-5.18%
20-Dec,26.473,22.81,27.595,22.755,40.39K,16.82%
21-Jan,26.953,26.825,28.15,24.095,71.47K,1.81%
21-Feb,26.44,28.41,30.04,25.98,653.35K,-1.90%
21-Mar,24.532,26.7,27.175,23.74,1.47M,-7.22%
21-Apr,25.915,24.46,26.727,24.273,39.25K,5.64%
21-May,28.014,25.99,28.9,25.85,1.41M,8.10%
21-Jun,26.194,28.08,28.735,25.58,446.89K,-6.50%
21-Jul,25.547,26.25,26.91,24.515,1.16M,-2.47%
21-Aug,24.006,25.605,26.13,22.35,426.39K,-6.03%
21-Sep,22.047,23.935,24.945,21.41,1.10M,-8.16%
21-Oct,23.949,22.185,24.92,21.99,1.11M,8.63%
21-Nov,22.765,23.985,25.49,22.705,1.35M,-4.94%
21-Dec,22.848,22.77,23.295,21.5,2.48K,0.36%
22-Jan,22.432,23.395,24.79,21.985,55.16K,-1.82%
22-Feb,24.366,22.515,25.705,22.05,423.75K,8.62%
22-Mar,25.133,24.455,27.495,24.045,1.31M,3.15%
,,,,,,